Page_Type,App_Name,Framework,Strategy,Total_Runs,Metric,Value,Score
blog,SvelteKit SSG,SvelteKit,Static Site Generation,10,TTI,2.84,97
blog,SvelteKit SSG,SvelteKit,Static Site Generation,10,TBT,0.0,100
blog,SvelteKit SSG,SvelteKit,Static Site Generation,10,CLS,0.0,100
blog,Next.js ISR,Next.js,Incremental Static Regeneration,10,FCP,1.03,100
blog,Next.js ISR,Next.js,Incremental Static Regeneration,10,LCP,2.69,85
blog,Next.js ISR,Next.js,Incremental Static Regeneration,10,SI,2.22,99
blog,Next.js ISR,Next.js,Incremental Static Regeneration,10,TTI,2.7,97
blog,Next.js ISR,Next.js,Incremental Static Regeneration,10,TBT,19.4,100
blog,Next.js ISR,Next.js,Incremental Static Regeneration,10,CLS,0.0,100
blog,Nuxt.js ISR,Nuxt.js,Incremental Static Regeneration,10,FCP,2.76,58
blog,Nuxt.js ISR,Nuxt.js,Incremental Static Regeneration,10,LCP,2.76,84
blog,Nuxt.js ISR,Nuxt.js,Incremental Static Regeneration,10,SI,3.95,80
blog,Nuxt.js ISR,Nuxt.js,Incremental Static Regeneration,10,TTI,2.76,97
blog,Nuxt.js ISR,Nuxt.js,Incremental Static Regeneration,10,TBT,0.0,100
blog,Nuxt.js ISR,Nuxt.js,Incremental Static Regeneration,10,CLS,0.0,100
blog,SvelteKit ISR,SvelteKit,Incremental Static Regeneration,10,FCP,2.59,64
blog,SvelteKit ISR,SvelteKit,Incremental Static Regeneration,10,LCP,2.82,82
blog,SvelteKit ISR,SvelteKit,Incremental Static Regeneration,10,SI,3.42,88
blog,SvelteKit ISR,SvelteKit,Incremental Static Regeneration,10,TTI,2.82,97
blog,SvelteKit ISR,SvelteKit,Incremental Static Regeneration,10,TBT,0.0,100
blog,SvelteKit ISR,SvelteKit,Incremental Static Regeneration,10,CLS,0.0,100
